                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.72139,                0.40065,                0.96814,                0.99618,                      1,                0.99408,                0.78607,                0.86634,                0.38495,                 1.0604,              0.0017426,              0.0017426,              0.0017426
                    133,                0.72182,                0.41002,                0.96924,                0.99552,                      1,                0.99415,                0.80106,                0.86253,                0.38231,                 1.0605,              0.0017406,              0.0017406,              0.0017406
                    134,                0.74178,                0.40433,                0.98497,                0.99623,                      1,                0.99419,                0.80659,                0.85988,                0.37593,                 1.0567,              0.0017386,              0.0017386,              0.0017386
                    135,                0.72223,                0.39449,                0.97317,                0.99575,                      1,                0.99463,                 0.8086,                0.85882,                0.38242,                  1.052,              0.0017367,              0.0017367,              0.0017367
                    136,                0.73727,                0.39986,                0.98354,                0.99127,                      1,                0.99425,                0.79398,                0.93883,                0.40317,                 1.0699,              0.0017347,              0.0017347,              0.0017347
                    137,                0.70373,                0.38574,                0.96002,                0.96329,                      1,                0.99163,                0.78281,                0.89683,                0.43028,                 1.0932,              0.0017327,              0.0017327,              0.0017327
                    138,                0.72997,                0.40218,                0.96605,                0.93189,                      1,                0.97818,                0.73519,                0.97661,                0.50332,                 1.1522,              0.0017307,              0.0017307,              0.0017307
                    139,                0.72862,                0.38593,                 0.9743,                0.96206,                 0.9966,                0.99178,                 0.7518,                0.97373,                0.44778,                 1.1046,              0.0017287,              0.0017287,              0.0017287
                    140,                0.73445,                0.40678,                0.96174,                0.97652,                      1,                0.99274,                0.79462,                0.85947,                  0.377,                 1.0501,              0.0017268,              0.0017268,              0.0017268
                    141,                0.74775,                0.39961,                0.99107,                0.98633,                      1,                 0.9925,                 0.7901,                0.90759,                0.37552,                 1.0608,              0.0017248,              0.0017248,              0.0017248
                    142,                0.75339,                0.40424,                0.97802,                0.98902,                      1,                0.99385,                0.77896,                0.93612,                 0.3917,                 1.0726,              0.0017228,              0.0017228,              0.0017228
                    143,                0.74721,                0.40984,                0.97627,                0.96696,                 0.9932,                0.99047,                0.79184,                0.89846,                0.41607,                 1.0806,              0.0017208,              0.0017208,              0.0017208
                    144,                0.74891,                0.41062,                0.97105,                0.97668,                0.99725,                0.99145,                0.79081,                0.92343,                0.41553,                 1.0781,              0.0017188,              0.0017188,              0.0017188
                    145,                0.72662,                0.39627,                0.97816,                0.98565,                      1,                0.99304,                0.80664,                0.89156,                 0.3914,                 1.0803,              0.0017169,              0.0017169,              0.0017169
                    146,                0.71478,                0.38323,                0.95936,                0.99632,                      1,                0.99442,                 0.8124,                0.81201,                0.38249,                 1.0261,              0.0017149,              0.0017149,              0.0017149
                    147,                0.73232,                0.38765,                0.96584,                0.98942,                 0.9966,                0.99257,                0.79326,                0.93116,                0.39052,                 1.0493,              0.0017129,              0.0017129,              0.0017129
                    148,                0.74656,                0.40004,                0.98128,                0.98817,                 0.9932,                0.99452,                0.78664,                0.96374,                0.40316,                 1.0675,              0.0017109,              0.0017109,              0.0017109
                    149,                0.72813,                0.39843,                 0.9634,                0.98591,                 0.9932,                 0.9942,                0.79816,                0.84147,                0.39428,                  1.049,              0.0017089,              0.0017089,              0.0017089
                    150,                0.72108,                0.38808,                0.95612,                 0.9834,                 0.9932,                0.99207,                0.78033,                0.87701,                0.40689,                 1.0826,               0.001707,               0.001707,               0.001707
                    151,                0.71811,                0.38525,                0.96775,                0.97673,                0.99952,                0.99201,                0.77795,                0.96182,                0.41605,                  1.115,               0.001705,               0.001705,               0.001705
                    152,                0.75873,                0.38596,                0.96525,                0.99165,                      1,                0.99446,                0.80321,                0.90576,                0.38498,                 1.0647,               0.001703,               0.001703,               0.001703
                    153,                0.71233,                0.39679,                 0.9663,                0.99256,                      1,                0.99452,                0.80693,                0.88181,                0.38085,                  1.065,               0.001701,               0.001701,               0.001701
                    154,                0.71167,                0.38964,                0.95575,                0.98821,                      1,                0.99425,                0.80445,                0.88704,                0.38544,                 1.0603,               0.001699,               0.001699,               0.001699
